subjectID activityName feature meanValue
1 WALKING_DOWNSTAIRS angletBodyAccJerkMeangravityMean 0.0315115485714286
1 WALKING_DOWNSTAIRS angletBodyAccMeangravity 0.0980291871428571
1 WALKING_DOWNSTAIRS angletBodyGyroJerkMeangravityMean 0.02472303775
1 WALKING_DOWNSTAIRS angletBodyGyroMeangravityMean -0.0282901396428571
1 WALKING_DOWNSTAIRS angleXgravityMean -0.674282791071429
1 WALKING_DOWNSTAIRS angleYgravityMean 0.3118302675
1 WALKING_DOWNSTAIRS angleZgravityMean 0.0872317600714286
1 WALKING_DOWNSTAIRS fBodyAccJerkmeanFreqX -0.306332560821429
1 WALKING_DOWNSTAIRS fBodyAccJerkmeanFreqY -0.3787996255
1 WALKING_DOWNSTAIRS fBodyAccJerkmeanFreqZ -0.2062455765
1 WALKING_DOWNSTAIRS fBodyAccJerkmeanX -0.184777986714286
1 WALKING_DOWNSTAIRS fBodyAccJerkmeanY -0.22808852075
1 WALKING_DOWNSTAIRS fBodyAccJerkmeanZ -0.434256061428571
1 WALKING_DOWNSTAIRS fBodyAccJerkstdX -0.202478678509643
1 WALKING_DOWNSTAIRS fBodyAccJerkstdY -0.224905915296429
1 WALKING_DOWNSTAIRS fBodyAccJerkstdZ -0.516095982857143
1 WALKING_DOWNSTAIRS fBodyAccMagmean -0.06760317325
1 WALKING_DOWNSTAIRS fBodyAccMagmeanFreq 0.0622787128796429
1 WALKING_DOWNSTAIRS fBodyAccMagstd -0.264349880378571
1 WALKING_DOWNSTAIRS fBodyAccmeanFreqX -0.345588052025
1 WALKING_DOWNSTAIRS fBodyAccmeanFreqY 0.00230389108928571
1 WALKING_DOWNSTAIRS fBodyAccmeanFreqZ -0.0355046021071429
1 WALKING_DOWNSTAIRS fBodyAccmeanX -0.113658525846429
1 WALKING_DOWNSTAIRS fBodyAccmeanY -0.0742782819
1 WALKING_DOWNSTAIRS fBodyAccmeanZ -0.296473813678571
1 WALKING_DOWNSTAIRS fBodyAccstdX -0.103948089932143
1 WALKING_DOWNSTAIRS fBodyAccstdY -0.0455758867178571
1 WALKING_DOWNSTAIRS fBodyAccstdZ -0.112452208571429
1 WALKING_DOWNSTAIRS fBodyBodyAccJerkMagmean -0.119701861678571
1 WALKING_DOWNSTAIRS fBodyBodyAccJerkMagmeanFreq 0.0667480923
1 WALKING_DOWNSTAIRS fBodyBodyAccJerkMagstd -0.254298875903571
1 WALKING_DOWNSTAIRS fBodyBodyGyroJerkMagmean -0.435965402464286
1 WALKING_DOWNSTAIRS fBodyBodyGyroJerkMagmeanFreq 0.215462239928571
1 WALKING_DOWNSTAIRS fBodyBodyGyroJerkMagstd -0.537559601428571
1 WALKING_DOWNSTAIRS fBodyBodyGyroMagmean -0.248337149392857
1 WALKING_DOWNSTAIRS fBodyBodyGyroMagmeanFreq 0.157159054428571
1 WALKING_DOWNSTAIRS fBodyBodyGyroMagstd -0.324706683214286
1 WALKING_DOWNSTAIRS fBodyGyromeanFreqX -0.167386886825
1 WALKING_DOWNSTAIRS fBodyGyromeanFreqY -0.138687357
1 WALKING_DOWNSTAIRS fBodyGyromeanFreqZ -0.0690434726071429
1 WALKING_DOWNSTAIRS fBodyGyromeanX -0.423577624642857
